,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
64,META230505C00260000,2023-05-03 19:59:57+00:00,260.0,0.01,0.01,0.02,-0.04,-79.99999,3399.0,6819,0.414068359375,False,REGULAR,USD
65,META230505C00262500,2023-05-03 19:50:20+00:00,262.5,0.01,0.0,0.03,-0.02,-66.66667,733.0,1885,0.4726615234375,False,REGULAR,USD
66,META230505C00265000,2023-05-03 19:50:20+00:00,265.0,0.01,0.0,0.04,-0.01,-50.0,176.0,2259,0.5273484765625001,False,REGULAR,USD
67,META230505C00267500,2023-05-03 19:06:56+00:00,267.5,0.01,0.0,0.04,0.0,0.0,23.0,1466,0.523442265625,False,REGULAR,USD
68,META230505C00270000,2023-05-03 18:38:28+00:00,270.0,0.01,0.0,0.01,0.0,0.0,81.0,1923,0.51562984375,False,REGULAR,USD
69,META230505C00272500,2023-05-03 17:12:27+00:00,272.5,0.01,0.0,0.01,0.0,0.0,6.0,596,0.51562984375,False,REGULAR,USD
70,META230505C00275000,2023-05-03 17:17:39+00:00,275.0,0.01,0.0,0.01,0.0,0.0,23.0,1107,0.5468795312500001,False,REGULAR,USD
71,META230505C00277500,2023-05-03 17:08:14+00:00,277.5,0.02,0.0,0.01,0.0,0.0,1.0,191,0.57812921875,False,REGULAR,USD
72,META230505C00280000,2023-05-02 19:55:52+00:00,280.0,0.01,0.0,0.01,0.0,0.0,16.0,609,0.6093789062500001,False,REGULAR,USD
73,META230505C00282500,2023-05-02 13:40:36+00:00,282.5,0.01,0.0,0.01,0.0,0.0,1.0,224,0.64062859375,False,REGULAR,USD
74,META230505C00285000,2023-05-03 14:49:00+00:00,285.0,0.01,0.0,0.01,-0.01,-50.0,10.0,588,0.6562534375000001,False,REGULAR,USD
75,META230505C00290000,2023-05-03 17:25:51+00:00,290.0,0.01,0.0,0.01,0.0,0.0,31.0,894,0.7187528125,False,REGULAR,USD
76,META230505C00295000,2023-05-02 18:53:33+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1.0,823,0.7812521875,False,REGULAR,USD
77,META230505C00300000,2023-05-03 17:08:14+00:00,300.0,0.02,0.0,0.01,0.01,100.0,1.0,2969,0.8437515624999999,False,REGULAR,USD
78,META230512C00020000,2023-05-01 19:54:50+00:00,20.0,223.75,216.7,217.4,0.0,0.0,,1,4.968753789062499,True,REGULAR,USD
79,META230512C00100000,2023-05-01 19:58:15+00:00,100.0,143.54,136.85,137.55,0.0,0.0,3.0,4,2.2070357324218746,True,REGULAR,USD
80,META230512C00110000,2023-05-03 15:19:23+00:00,110.0,131.08,126.85,127.55,0.7400055,0.5677501,2.0,15,1.9804688476562502,True,REGULAR,USD
81,META230512C00115000,2023-05-03 17:04:51+00:00,115.0,123.25,121.85,122.55,23.169998,23.151476,1.0,1,1.875000625,True,REGULAR,USD
82,META230512C00120000,2023-05-01 15:27:44+00:00,120.0,117.08,116.85,117.55,0.0,0.0,1.0,5,1.7734386328124998,True,REGULAR,USD
83,META230512C00130000,2023-05-03 17:23:38+00:00,130.0,107.25,106.9,107.6,-4.949997,-4.411762,4.0,31,1.6367205664062499,True,REGULAR,USD
84,META230512C00135000,2023-05-03 19:15:08+00:00,135.0,101.9,101.9,102.6,-2.409996,-2.310417,8.0,6,1.54297103515625,True,REGULAR,USD
85,META230512C00140000,2023-05-03 13:49:29+00:00,140.0,99.42,96.9,97.6,1.4700012,1.500767,3.0,6,1.453127734375,True,REGULAR,USD
86,META230512C00145000,2023-05-03 17:43:47+00:00,145.0,93.9,91.9,92.6,-0.8199997,-0.8657091,1.0,6,1.365237548828125,True,REGULAR,USD
87,META230512C00150000,2023-05-03 17:05:00+00:00,150.0,87.8,86.9,87.6,0.38000488,0.43468872,2.0,3,1.2812535937499998,True,REGULAR,USD
88,META230512C00155000,2023-05-01 18:51:02+00:00,155.0,86.66,81.95,82.6,0.0,0.0,2.0,2,1.21875390625,True,REGULAR,USD
89,META230512C00160000,2023-05-02 15:48:41+00:00,160.0,80.75,76.95,77.65,0.0,0.0,12.0,28,1.154301103515625,True,REGULAR,USD
90,META230512C00165000,2023-05-03 14:28:16+00:00,165.0,75.32,71.95,72.65,0.80999756,1.0870991,3.0,23,1.0742233789062503,True,REGULAR,USD
91,META230512C00170000,2023-05-02 19:37:05+00:00,170.0,69.45,66.95,67.65,0.0,0.0,3.0,5,0.9970703417968749,True,REGULAR,USD
92,META230512C00175000,2023-05-03 14:28:50+00:00,175.0,65.15,62.0,62.65,-4.3499985,-6.258991,5.0,16,0.9335944140625,True,REGULAR,USD
93,META230512C00177500,2023-05-03 15:26:46+00:00,177.5,63.57,59.5,60.2,0.15999985,0.2523259,2.0,15,0.9082040429687499,True,REGULAR,USD
94,META230512C00180000,2023-05-03 17:01:50+00:00,180.0,59.66,57.0,57.7,-0.54999924,-0.9134683,2.0,92,0.870118486328125,True,REGULAR,USD
95,META230512C00182500,2023-05-02 13:33:18+00:00,182.5,62.03,54.5,55.2,0.0,0.0,1.0,9,0.8330094824218748,True,REGULAR,USD
96,META230512C00185000,2023-05-03 18:50:46+00:00,185.0,53.08,52.0,52.7,-2.0599976,-3.7359405,4.0,77,0.795900478515625,True,REGULAR,USD
97,META230512C00187500,2023-05-02 13:30:03+00:00,187.5,55.75,49.55,50.2,0.0,0.0,2.0,228,0.7690452783203126,True,REGULAR,USD
98,META230512C00190000,2023-05-03 17:49:17+00:00,190.0,49.2,47.05,47.75,-0.9699974,-1.9334211,4.0,89,0.7412135253906249,True,REGULAR,USD
99,META230512C00192500,2023-05-01 13:37:26+00:00,192.5,46.62,44.55,45.25,0.0,0.0,1.0,18,0.7045927978515626,True,REGULAR,USD
100,META230512C00195000,2023-05-03 14:48:02+00:00,195.0,45.45,42.1,42.75,-0.54999924,-1.1956506,2.0,33,0.6762727685546877,True,REGULAR,USD
101,META230512C00197500,2023-05-02 13:33:40+00:00,197.5,47.15,39.6,40.3,0.0,0.0,1.0,29,0.6469761865234375,True,REGULAR,USD
102,META230512C00200000,2023-05-03 19:41:00+00:00,200.0,36.0,37.15,37.8,-4.0,-10.0,36.0,67,0.6171913281250001,True,REGULAR,USD
103,META230512C00202500,2023-05-03 16:01:53+00:00,202.5,38.95,34.65,35.35,-2.619999,-6.30262,1.0,76,0.5864299169921875,True,REGULAR,USD
104,META230512C00205000,2023-05-03 19:08:24+00:00,205.0,33.1,32.2,32.9,-2.9500008,-8.183082,4.0,208,0.561527822265625,True,REGULAR,USD
105,META230512C00207500,2023-05-02 16:11:53+00:00,207.5,33.73,29.75,30.45,0.0,0.0,1.0,87,0.5346726220703125,True,REGULAR,USD
106,META230512C00210000,2023-05-03 18:40:17+00:00,210.0,29.89,27.35,28.0,-0.84000015,-2.7334857,4.0,286,0.5107470800781251,True,REGULAR,USD
107,META230512C00212500,2023-05-03 19:32:53+00:00,212.5,23.73,24.95,25.6,-4.8100014,-16.853542,4.0,360,0.5393112475585939,True,REGULAR,USD
108,META230512C00215000,2023-05-03 19:09:19+00:00,215.0,22.95,22.55,23.2,-2.8199997,-10.942955,39.0,439,0.5100146655273439,True,REGULAR,USD
109,META230512C00217500,2023-05-03 19:41:47+00:00,217.5,19.35,20.2,20.85,-3.5499992,-15.50218,7.0,223,0.4846242944335938,True,REGULAR,USD
110,META230512C00220000,2023-05-03 19:29:04+00:00,220.0,17.48,17.95,18.5,-3.1900005,-15.432997,173.0,1266,0.45606012695312503,True,REGULAR,USD
111,META230512C00222500,2023-05-03 17:14:55+00:00,222.5,16.07,15.7,16.3,-2.08,-11.460054,99.0,85,0.43921459228515625,True,REGULAR,USD
112,META230512C00225000,2023-05-03 19:57:55+00:00,225.0,14.3,13.6,14.15,-2.5500002,-15.133532,54.0,717,0.42102629760742194,True,REGULAR,USD
